"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
11,"1","","2025-02-26T19:42:25.749939Z",11,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0011.jpeg",4.497,"2025-02-26T19:42:25.749965Z"
12,"1","","2025-02-26T19:42:30.516428Z",12,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0012.jpeg",4.508,"2025-02-26T19:42:30.516455Z"
13,"1","click","2025-02-26T19:42:34.170609Z",13,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0013.jpeg",3.393,"2025-02-26T19:42:34.170636Z"
14,"1","{""choices"":[""whistle"",""click""]}","2025-02-26T19:54:03.930554Z",14,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0014.jpeg",56.84499999999999,"2025-02-26T19:54:03.930576Z"
15,"1","click","2025-02-26T19:54:16.928303Z",15,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0015.jpeg",12.756,"2025-02-26T19:54:16.928329Z"
16,"1","","2025-02-26T19:54:21.835416Z",16,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0016.jpeg",4.685,"2025-02-26T19:54:21.835442Z"
17,"1","click","2025-02-26T19:54:29.722511Z",17,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0017.jpeg",7.678,"2025-02-26T19:54:29.722535Z"
18,"1","","2025-02-26T19:54:33.653286Z",18,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0018.jpeg",3.71,"2025-02-26T19:54:33.653310Z"
19,"1","click","2025-02-26T19:54:38.112023Z",19,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0019.jpeg",4.245,"2025-02-26T19:54:38.112046Z"
20,"1","","2025-02-26T19:54:43.940331Z",20,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213650_436-0020.jpeg",5.614,"2025-02-26T19:54:43.940362Z"
21,"1","","2025-02-26T19:54:46.263830Z",21,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0001.jpeg",2.115,"2025-02-26T19:54:46.263858Z"
22,"1","click","2025-02-26T19:54:56.128614Z",22,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0002.jpeg",9.648,"2025-02-26T19:54:56.128639Z"
23,"1","","2025-02-26T19:54:58.108974Z",23,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0003.jpeg",1.768,"2025-02-26T19:54:58.108998Z"
24,"1","click","2025-02-26T19:55:01.592383Z",24,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0004.jpeg",3.271,"2025-02-26T19:55:01.592407Z"
25,"1","whistle","2025-02-26T19:55:06.042892Z",25,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0005.jpeg",4.19,"2025-02-26T19:55:06.042918Z"
26,"1","click","2025-02-26T19:55:08.255281Z",26,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0006.jpeg",1.94,"2025-02-26T19:55:08.255309Z"
27,"1","","2025-02-26T19:55:11.420366Z",27,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0007.jpeg",2.904,"2025-02-26T19:55:11.420390Z"
28,"1","click","2025-02-26T19:55:13.669003Z",28,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0008.jpeg",2.007,"2025-02-26T19:55:13.669026Z"
29,"1","","2025-02-26T19:55:15.546901Z",29,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0009.jpeg",1.639,"2025-02-26T19:55:15.546922Z"
30,"1","click","2025-02-26T19:55:17.729689Z",30,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0010.jpeg",1.95,"2025-02-26T19:55:17.729710Z"
31,"1","","2025-02-26T19:55:40.244703Z",31,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0011.jpeg",22.268,"2025-02-26T19:55:40.244731Z"
32,"1","","2025-02-26T19:55:43.260813Z",32,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0012.jpeg",2.653,"2025-02-26T19:55:43.260835Z"
33,"1","click","2025-02-26T19:55:45.803270Z",33,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0013.jpeg",2.301,"2025-02-26T19:55:45.803292Z"
34,"1","","2025-02-26T19:56:23.660365Z",34,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0014.jpeg",37.584,"2025-02-26T19:56:23.660388Z"
35,"1","click","2025-02-26T19:56:53.433524Z",35,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0015.jpeg",29.504,"2025-02-26T19:56:53.433549Z"
36,"1","","2025-02-26T19:56:55.296544Z",36,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0016.jpeg",1.608,"2025-02-26T19:56:55.296566Z"
37,"1","{""choices"":[""whistle"",""click""]}","2025-02-26T19:56:58.081504Z",37,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0017.jpeg",2.522,"2025-02-26T19:56:58.081530Z"
38,"1","","2025-02-26T19:56:59.742643Z",38,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0018.jpeg",1.418,"2025-02-26T19:56:59.742665Z"
39,"1","click","2025-02-26T19:57:02.320748Z",39,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0019.jpeg",2.333,"2025-02-26T19:57:02.320773Z"
40,"1","","2025-02-26T19:57:03.661230Z",40,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213750_436-0020.jpeg",1.087,"2025-02-26T19:57:03.661253Z"
41,"1","whistle","2025-02-26T19:57:06.325365Z",41,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0001.jpeg",2.413,"2025-02-26T19:57:06.325388Z"
42,"1","","2025-02-26T19:57:08.485569Z",42,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0002.jpeg",1.909,"2025-02-26T19:57:08.485603Z"
43,"1","","2025-02-26T19:57:09.788009Z",43,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0003.jpeg",1.063,"2025-02-26T19:57:09.788033Z"
44,"1","click","2025-02-26T19:57:13.841426Z",44,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0004.jpeg",3.795,"2025-02-26T19:57:13.841453Z"
45,"1","","2025-02-26T19:57:15.510881Z",45,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0005.jpeg",1.426,"2025-02-26T19:57:15.510903Z"
46,"1","click","2025-02-26T19:57:19.543857Z",46,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0006.jpeg",3.778,"2025-02-26T19:57:19.543882Z"
47,"1","","2025-02-26T19:57:22.143909Z",47,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0007.jpeg",2.357,"2025-02-26T19:57:22.143935Z"
48,"1","click","2025-02-26T19:57:26.346176Z",48,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0008.jpeg",3.945,"2025-02-26T19:57:26.346198Z"
49,"1","","2025-02-26T19:57:28.888946Z",49,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0009.jpeg",2.258,"2025-02-26T19:57:28.888968Z"
50,"1","click","2025-02-26T19:57:32.228926Z",50,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0010.jpeg",3.07,"2025-02-26T19:57:32.228953Z"
51,"1","","2025-02-26T19:57:34.194115Z",51,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0011.jpeg",1.708,"2025-02-26T19:57:34.194140Z"
52,"1","click","2025-02-26T19:57:36.960953Z",52,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0012.jpeg",2.519,"2025-02-26T19:57:36.960977Z"
53,"1","","2025-02-26T19:57:39.337897Z",53,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0013.jpeg",2.112,"2025-02-26T19:57:39.337920Z"
54,"1","","2025-02-26T19:57:57.801328Z",54,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0014.jpeg",2.453,"2025-02-26T19:57:57.801355Z"
55,"1","click","2025-02-26T19:58:00.197515Z",55,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0015.jpeg",2.146,"2025-02-26T19:58:00.197544Z"
56,"1","","2025-02-26T19:58:01.738030Z",56,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0016.jpeg",1.293,"2025-02-26T19:58:01.738055Z"
57,"1","click","2025-02-26T19:58:04.340677Z",57,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0017.jpeg",2.354,"2025-02-26T19:58:04.340702Z"
58,"1","","2025-02-26T19:58:06.151257Z",58,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0018.jpeg",1.562,"2025-02-26T19:58:06.151292Z"
59,"1","click","2025-02-26T19:58:09.776342Z",59,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0019.jpeg",3.381,"2025-02-26T19:58:09.776367Z"
60,"1","","2025-02-26T19:58:12.489705Z",60,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213850_436-0020.jpeg",2.463,"2025-02-26T19:58:12.489730Z"
61,"1","click","2025-02-26T19:58:14.268777Z",61,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0001.jpeg",1.546,"2025-02-26T19:58:14.268798Z"
62,"1","","2025-02-26T19:58:15.612077Z",62,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0002.jpeg",1.111,"2025-02-26T19:58:15.612097Z"
63,"1","click","2025-02-26T19:58:18.389244Z",63,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0003.jpeg",2.502,"2025-02-26T19:58:18.389268Z"
64,"1","","2025-02-26T19:58:27.573143Z",64,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0004.jpeg",2.753,"2025-02-26T19:58:27.573167Z"
65,"1","","2025-02-26T19:58:29.799759Z",65,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0005.jpeg",1.97,"2025-02-26T19:58:29.799783Z"
66,"1","click","2025-02-26T19:58:34.236629Z",66,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0006.jpeg",4.184,"2025-02-26T19:58:34.236655Z"
67,"1","","2025-02-26T19:58:36.470808Z",67,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0007.jpeg",1.967,"2025-02-26T19:58:36.470831Z"
68,"1","","2025-02-26T19:58:38.657293Z",68,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0008.jpeg",1.929,"2025-02-26T19:58:38.657318Z"
69,"1","","2025-02-26T19:58:40.233356Z",69,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0009.jpeg",1.331,"2025-02-26T19:58:40.233377Z"
70,"1","click","2025-02-26T19:58:41.952379Z",70,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0010.jpeg",1.455,"2025-02-26T19:58:41.952400Z"
71,"1","","2025-02-26T19:58:43.651434Z",71,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0011.jpeg",1.26,"2025-02-26T19:58:43.651455Z"
72,"1","click","2025-02-26T19:58:45.278004Z",72,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0012.jpeg",1.385,"2025-02-26T19:58:45.278026Z"
73,"1","","2025-02-26T19:58:46.818158Z",73,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0013.jpeg",1.28,"2025-02-26T19:58:46.818181Z"
74,"1","","2025-02-26T19:58:48.254739Z",74,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0014.jpeg",1.19,"2025-02-26T19:58:48.254762Z"
75,"1","click","2025-02-26T19:58:51.362623Z",75,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0015.jpeg",2.866,"2025-02-26T19:58:51.362647Z"
76,"1","","2025-02-26T19:58:52.951007Z",76,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0016.jpeg",1.341,"2025-02-26T19:58:52.951031Z"
77,"1","click","2025-02-26T19:58:55.202080Z",77,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0017.jpeg",2.011,"2025-02-26T19:58:55.202104Z"
78,"1","","2025-02-26T19:58:57.059041Z",78,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0018.jpeg",1.609,"2025-02-26T19:58:57.059064Z"
79,"1","click","2025-02-26T19:59:00.954772Z",79,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0019.jpeg",3.637,"2025-02-26T19:59:00.954795Z"
80,"1","","2025-02-26T19:59:02.768669Z",80,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_213950_436-0020.jpeg",1.556,"2025-02-26T19:59:02.768689Z"
81,"1","click","2025-02-26T19:59:07.153767Z",81,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0001.jpeg",4.137,"2025-02-26T19:59:07.153794Z"
82,"1","","2025-02-26T19:59:08.578411Z",82,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0002.jpeg",1.16,"2025-02-26T19:59:08.578433Z"
83,"1","click","2025-02-26T19:59:11.066318Z",83,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0003.jpeg",2.239,"2025-02-26T19:59:11.066339Z"
84,"1","","2025-02-26T19:59:13.801876Z",84,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0004.jpeg",2.482,"2025-02-26T19:59:13.801900Z"
85,"1","","2025-02-26T19:59:15.299695Z",85,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0005.jpeg",1.252,"2025-02-26T19:59:15.299718Z"
86,"1","click","2025-02-26T19:59:19.261234Z",86,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0006.jpeg",3.71,"2025-02-26T19:59:19.261258Z"
87,"1","","2025-02-26T19:59:21.037933Z",87,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0007.jpeg",1.527,"2025-02-26T19:59:21.037954Z"
88,"1","click","2025-02-26T19:59:26.041440Z",88,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0008.jpeg",4.746,"2025-02-26T19:59:26.041466Z"
89,"1","","2025-02-26T19:59:28.526290Z",89,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0009.jpeg",2.208,"2025-02-26T19:59:28.526313Z"
90,"1","click","2025-02-26T19:59:30.520795Z",90,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0010.jpeg",1.745,"2025-02-26T19:59:30.520826Z"
91,"1","","2025-02-26T19:59:32.038002Z",91,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0011.jpeg",1.258,"2025-02-26T19:59:32.038023Z"
92,"1","click","2025-02-26T19:59:36.398735Z",92,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0012.jpeg",4.117,"2025-02-26T19:59:36.398760Z"
93,"1","","2025-02-26T19:59:38.605714Z",93,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0013.jpeg",1.952,"2025-02-26T19:59:38.605738Z"
94,"1","click","2025-02-26T19:59:44.489015Z",94,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0014.jpeg",5.63,"2025-02-26T19:59:44.489039Z"
95,"1","","2025-02-26T19:59:46.885326Z",95,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0015.jpeg",2.133,"2025-02-26T19:59:46.885354Z"
96,"1","","2025-02-26T19:59:48.337218Z",96,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0016.jpeg",1.188,"2025-02-26T19:59:48.337240Z"
97,"1","click","2025-02-26T19:59:50.308091Z",97,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0017.jpeg",1.721,"2025-02-26T19:59:50.308113Z"
98,"1","","2025-02-26T19:59:51.589059Z",98,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0018.jpeg",1.011,"2025-02-26T19:59:51.589085Z"
99,"1","click","2025-02-26T19:59:53.284515Z",99,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0019.jpeg",1.446,"2025-02-26T19:59:53.284541Z"
100,"1","","2025-02-26T19:59:54.594066Z",100,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214050_436-0020.jpeg",1.051,"2025-02-26T19:59:54.594089Z"
101,"1","click","2025-02-26T19:59:56.170669Z",101,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0001.jpeg",1.315,"2025-02-26T19:59:56.170690Z"
102,"1","","2025-02-26T19:59:57.608736Z",102,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0002.jpeg",1.188,"2025-02-26T19:59:57.608759Z"
103,"1","click","2025-02-26T20:00:00.049638Z",103,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0003.jpeg",2.181,"2025-02-26T20:00:00.049663Z"
104,"1","","2025-02-26T20:00:01.533240Z",104,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0004.jpeg",1.217,"2025-02-26T20:00:01.533270Z"
105,"1","click","2025-02-26T20:00:03.582872Z",105,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0005.jpeg",1.801,"2025-02-26T20:00:03.582893Z"
106,"1","","2025-02-26T20:00:05.114726Z",106,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0006.jpeg",1.269,"2025-02-26T20:00:05.114758Z"
107,"1","","2025-02-26T20:00:06.897682Z",107,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0007.jpeg",1.54,"2025-02-26T20:00:06.897704Z"
108,"1","click","2025-02-26T20:00:09.276529Z",108,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0008.jpeg",2.116,"2025-02-26T20:00:09.276553Z"
109,"1","","2025-02-26T20:00:10.522741Z",109,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0009.jpeg",0.986,"2025-02-26T20:00:10.522767Z"
110,"1","click","2025-02-26T20:00:12.931456Z",110,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0010.jpeg",2.146,"2025-02-26T20:00:12.931482Z"
111,"1","","2025-02-26T20:00:14.179970Z",111,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0011.jpeg",0.985,"2025-02-26T20:00:14.179993Z"
112,"1","click","2025-02-26T20:00:19.541366Z",112,"/data/local-files/?d=home/gpu_enjoyer/Documents/datasets/FWK_HICEA2017/Sette_AC_44/images/1706_20170715_214150_436-0012.jpeg",5.088,"2025-02-26T20:00:19.541390Z"
